% Model,Changement_milieu.mph
% Version,COMSOL 6.3.0.420
% Date,"Nov 25 2025, 09:10"
% Table,Table de concentration (390s) - Moyenne sur volume 1
% Time (s),"Fraction de C_0, puits 1 [%] (1)","Fraction de C_0, puits 2 [%] (1)","Fraction de C_0, puits 3 [%] (1)","Fraction de C_0, système [%] (1)"
0,10.000000000000004,10.000000000000012,10.000000000000004,19.650534592112738
10,81.3860369220491,58.27681281454493,60.65702214171219,75.80395996135877
20,80.32614383823976,59.456638617077445,56.41378676547746,67.43184817681583
30,76.59865209513409,56.652163689268605,53.31133065734911,65.93207274753026
40,74.11260399683927,54.206928225276776,52.40834792432999,65.6358350960444
50,72.35222638368772,53.215462528963585,52.290757792106135,65.55738348616168
60,70.98939209608923,53.022423900324966,52.39457544921551,65.51562342109746
70,69.8056135750257,53.096738353747966,52.5680756243559,65.48529562662532
80,68.75053470175554,53.25424061382422,52.76769354616631,65.46221470312437
90,67.79265325369602,53.44122127664656,52.97439577518848,65.44327293266993
100,66.91877697888256,53.633052750475365,53.17624439765265,65.42752366860887
110,66.11061444307155,53.82041048463837,53.36968998187143,65.41410880046453
120,65.36505767239173,53.99610682486926,53.552125018101414,65.40231489999996
130,64.65604700628333,54.16099568797962,53.72284689559491,65.48288118583278
140,93.93644174388173,79.28912325331108,81.12320467969359,88.60572250690034
150,98.6067747970581,86.66605557904438,90.82496878468548,94.12409765773424
160,99.69239659497636,91.41429740138679,95.45140371498881,96.95910724338526
170,99.93249347553295,94.55753918953049,97.75837084227544,98.42434048319811
180,99.98478662452497,96.5607901484622,98.87787394726683,99.17033335693284
190,99.99212914127199,97.28661298347154,99.15839596690081,99.3616729073657
200,99.93090757382468,97.3988188575475,99.04586742123357,99.27620394725905
210,99.8258820350351,97.47304726039411,98.99583106995895,99.25597124065013
220,99.74893964350518,97.56117332087588,98.98325115340158,99.2520352575702
230,99.68650664794838,97.66801540386068,98.98183368566372,99.25102561166621
240,99.63351489397922,97.77857021818133,98.98431894126986,99.25054645392953
250,99.5876021654013,97.8844312013255,98.98859976395663,99.25024547008888
260,99.5440415820741,97.98508163169429,98.99348872326222,99.25229088750767
270,99.9372604318355,98.93924461117953,99.5877809776824,99.75790962051568
280,99.98546866917611,99.31541954611899,99.79774674664091,99.87449129774802
290,99.9967817575784,99.56217393477397,99.89834355519761,99.934811688405
300,99.99929349622451,99.72381171772794,99.94903571502674,99.96606712066166
310,99.99984210424383,99.82635070587668,99.9740316638231,99.98203776509382
320,99.99993491723329,99.8732438311048,99.98263594088843,99.98850717856509
330,99.99985068683534,99.88506400386144,99.98303042053914,99.98847883322658
340,99.99822053337311,99.89105154967343,99.98194916471267,99.98781187218127
350,99.99674081840156,99.89751920331855,99.98178864146395,99.98768630382344
360,99.99561094290146,99.90422833158533,99.98188160904985,99.9876723349102
370,99.99468193766917,99.91080963793257,99.98205186416496,99.98767737999955
380,99.993873435565,99.9170124507646,99.98224548000148,99.98768576432386
390,99.99315670188156,99.92281719859443,99.9824401069645,99.98769520360635
